From.Date,To.Date,PM2.5,Temp,RH,BP,WS,WD
01-07-2018 00:00,01-07-2018 01:00,16.75,24.18,77.39,1022.1,0.43,224.88
01-07-2018 01:00,01-07-2018 02:00,21,23.94,78.98,1022.48,0.64,217.85
01-07-2018 02:00,01-07-2018 03:00,19.5,23.75,80.74,1022.9,0.61,224.73
01-07-2018 03:00,01-07-2018 04:00,25.25,23.59,81.87,1023.2,0.49,225.78
01-07-2018 04:00,01-07-2018 05:00,31,23.47,81.64,1023.17,0.48,240.66
01-07-2018 05:00,01-07-2018 06:00,34.75,23.48,81.17,1023.12,0.51,246.61
01-07-2018 06:00,01-07-2018 07:00,30,23.52,80.79,1023.03,0.53,244.23
01-07-2018 07:00,01-07-2018 08:00,34.75,23.82,78.3,1022.43,0.66,242.16
01-07-2018 08:00,01-07-2018 09:00,29.75,24.11,76.84,1022.07,0.83,248.72
01-07-2018 09:00,01-07-2018 10:00,25.75,25.09,69.34,1020.25,0.71,229.04
01-07-2018 10:00,01-07-2018 11:00,25,26,62.48,1018.57,0.71,244.74
01-07-2018 11:00,01-07-2018 12:00,24.5,26.79,56.13,1017.05,0.83,233.46
01-07-2018 12:00,01-07-2018 13:00,22.5,27.44,50.43,1015.72,0.93,211.45
01-07-2018 13:00,01-07-2018 14:00,20.75,27.83,48.14,1015.15,0.88,223.72
01-07-2018 14:00,01-07-2018 15:00,19.75,28.09,48.35,1015.2,0.81,238.42
01-07-2018 15:00,01-07-2018 16:00,19.5,28.25,48.36,1015.15,0.68,240.15
01-07-2018 16:00,01-07-2018 17:00,21,28.02,49.03,1015.35,0.67,228.77
01-07-2018 17:00,01-07-2018 18:00,21.5,27.56,53.06,1016.32,0.73,244.99
01-07-2018 18:00,01-07-2018 19:00,23.25,27.26,55.14,1016.77,0.53,238.04
01-07-2018 19:00,01-07-2018 20:00,26.5,27.01,56.73,1017.1,0.35,231.6
01-07-2018 20:00,01-07-2018 21:00,30.25,26.43,63.03,1018.6,0.77,228.12
