From.Date,To.Date,PM2.5,Temp,RH,BP,WS,WD
01-07-2015 00:00,01-07-2015 01:00,14.55,25.9,92.2,1019.42,0.76,247.09
01-07-2015 01:00,01-07-2015 02:00,7,25.45,92.2,1018.4,1.76,28.08
01-07-2015 02:00,01-07-2015 03:00,15.34,25.16,92.2,1017.81,1.02,236.89
01-07-2015 03:00,01-07-2015 04:00,7.51,24.93,92.2,1017.42,0.26,75.43
01-07-2015 04:00,01-07-2015 05:00,15.63,24.72,92.21,1017.69,2.2,172.18
01-07-2015 05:00,01-07-2015 06:00,17.73,24.49,92.21,1018.26,2.43,284.6
01-07-2015 06:00,01-07-2015 07:00,14.14,24.3,92.21,1019.21,0.54,103.51
01-07-2015 07:00,01-07-2015 08:00,25.82,24.62,92.21,1020.17,0.28,246.38
01-07-2015 08:00,01-07-2015 09:00,26.86,25.61,92.21,1020.57,2.25,288.01
01-07-2015 09:00,01-07-2015 10:00,16.39,26.93,92.18,1019.67,2.43,281.19
01-07-2015 10:00,01-07-2015 11:00,12.03,27.91,87.11,1018.68,2.5,288.47
01-07-2015 11:00,01-07-2015 12:00,13.57,28.61,81.11,1017.57,2.55,285.79
01-07-2015 12:00,01-07-2015 13:00,16.67,29.24,77.12,1015.82,2.49,285.68
01-07-2015 13:00,01-07-2015 14:00,6.12,29.97,71.41,1013.51,2.47,282.18
01-07-2015 14:00,01-07-2015 15:00,5.51,30.18,70.46,1011.95,2.45,278.76
01-07-2015 15:00,01-07-2015 16:00,9.51,30.49,67.39,1010.98,2.49,290.6
01-07-2015 16:00,01-07-2015 17:00,7.31,30.32,65.62,1010.89,2.44,292.5
01-07-2015 17:00,01-07-2015 18:00,14.02,30.32,65.06,1011,2.4,291.42
01-07-2015 18:00,01-07-2015 19:00,17.49,29.49,68.27,1013.12,2.32,286.42
01-07-2015 19:00,01-07-2015 20:00,25.85,28.6,73.2,1015.69,2.37,284.73
01-07-2015 20:00,01-07-2015 21:00,27.8,27.86,76.8,1017.97,2.44,290.69
01-07-2015 21:00,01-07-2015 22:00,19.62,27.05,83.98,1019.52,2.36,289.53
01-07-2015 22:00,01-07-2015 23:00,20.11,26.44,89.7,1021.04,2.36,290.4
01-07-2015 23:00,02-07-2015 00:00,16.94,25.99,92.2,1021.29,2.29,288.06
02-07-2015 00:00,02-07-2015 01:00,7.72,25.59,92.2,1020.63,2.33,288.26
02-07-2015 01:00,02-07-2015 02:00,5.15,25.19,92.21,1019.56,2.25,288.62
02-07-2015 02:00,02-07-2015 03:00,8,24.99,92.21,1018.89,2.34,278.11
02-07-2015 03:00,02-07-2015 04:00,13.48,24.81,92.21,1018.63,2.31,274.59
02-07-2015 04:00,02-07-2015 05:00,19.8,24.57,92.21,1019.08,2.27,272.38
02-07-2015 05:00,02-07-2015 06:00,13.6,24.36,92.21,1019.61,2.3,271.01
02-07-2015 06:00,02-07-2015 07:00,21.9,24.31,92.21,1020.25,2.27,273.3
02-07-2015 07:00,02-07-2015 08:00,26.36,25.07,92.21,1020.5,2.31,273.06
02-07-2015 08:00,02-07-2015 09:00,24.42,25.91,92.21,1020.63,2.37,281.28
02-07-2015 09:00,02-07-2015 10:00,19.63,27.13,92.18,1020.54,2.45,287.99
02-07-2015 10:00,02-07-2015 11:00,21.15,28.22,85.16,1019.27,2.52,292.93
02-07-2015 11:00,02-07-2015 12:00,20.41,29.3,76.07,1017.64,2.51,290.91
02-07-2015 12:00,02-07-2015 13:00,7.85,29.41,73.95,1016.24,2.45,285.97
02-07-2015 13:00,02-07-2015 14:00,2.91,29.73,73.49,1014.5,2.51,294.61
02-07-2015 14:00,02-07-2015 15:00,3.05,29.72,74.43,1012.98,0.03,193
02-07-2015 15:00,02-07-2015 16:00,9.82,29.36,76.19,1013.55,2.3,291.55
02-07-2015 16:00,02-07-2015 17:00,16.97,28.37,85.37,1014.1,2.5,295.71
02-07-2015 17:00,02-07-2015 18:00,26.95,27.5,88.86,1015.08,2.57,295.7
02-07-2015 18:00,02-07-2015 19:00,12.45,26.86,92.12,1016.01,2.35,293.27
02-07-2015 19:00,02-07-2015 20:00,23.47,26.88,92.23,1017.55,2.28,287.81
02-07-2015 20:00,02-07-2015 21:00,25.35,26.77,92.23,1019.41,2.26,279.44
02-07-2015 21:00,02-07-2015 22:00,17.48,26.27,92.24,1021.39,2.24,290.64
02-07-2015 22:00,02-07-2015 23:00,10.35,25.72,92.24,1021.85,2.33,294.67
02-07-2015 23:00,03-07-2015 00:00,10.26,25.4,92.24,1021.13,2.29,291.55
03-07-2015 00:00,03-07-2015 01:00,10.64,25.53,92.24,1020.29,2.3,284.13
03-07-2015 01:00,03-07-2015 02:00,9.35,25.31,92.24,1018.69,2.4,277.88
