"From.Date","To.Date","NO","NO2","NOx","Temp","RH","BP","WS","WD"
"01-12-2015 00:00","01-12-2015 01:00",14.05,24.34,38.39,25.9,92.2,1019.42,0.76,247.09
"01-12-2015 01:00","01-12-2015 02:00",8.55,15.9,24.45,25.45,92.2,1018.4,1.76,28.08
"01-12-2015 02:00","01-12-2015 03:00",7.04,17.11,24.15,25.16,92.2,1017.81,1.02,236.89
"01-12-2015 03:00","01-12-2015 04:00",10.73,16.91,27.64,24.93,92.2,1017.42,0.26,75.43
"01-12-2015 04:00","01-12-2015 05:00",22.29,27.07,49.36,24.72,92.21,1017.69,2.2,172.18
"01-12-2015 05:00","01-12-2015 06:00",32.92,32.38,65.3,24.49,92.21,1018.26,2.43,284.6
"01-12-2015 06:00","01-12-2015 07:00",55.84,49.15,104.99,24.3,92.21,1019.21,0.54,103.51
"01-12-2015 07:00","01-12-2015 08:00",55.1,46.7,101.8,24.62,92.21,1020.17,0.28,246.38
"01-12-2015 08:00","01-12-2015 09:00",41.84,40.8,82.64,25.61,92.21,1020.57,2.25,288.01
"01-12-2015 09:00","01-12-2015 10:00",35.48,34.79,70.26,26.93,92.18,1019.67,2.43,281.19
"01-12-2015 10:00","01-12-2015 11:00",36.7,38.8,75.51,27.91,87.11,1018.68,2.5,288.47
"01-12-2015 11:00","01-12-2015 12:00",32.93,35.2,68.14,28.61,81.11,1017.57,2.55,285.79
"01-12-2015 12:00","01-12-2015 13:00",27.57,32.65,60.23,29.24,77.12,1015.82,2.49,285.68
"01-12-2015 13:00","01-12-2015 14:00",33.03,34.91,67.94,29.97,71.41,1013.51,2.47,282.18
"01-12-2015 14:00","01-12-2015 15:00",38.3,39.27,58.77,30.18,70.46,1011.95,2.45,278.76
"01-12-2015 15:00","01-12-2015 16:00",42.59,43.05,52.79,30.49,67.39,1010.98,2.49,290.6
"01-12-2015 16:00","01-12-2015 17:00",40.34,44.03,51.58,30.32,65.62,1010.89,2.44,292.5
"01-12-2015 17:00","01-12-2015 18:00",30.22,36.4,40.31,30.32,65.06,1011,2.4,291.42
"01-12-2015 18:00","01-12-2015 19:00",38.22,41.25,48.64,29.49,68.27,1013.12,2.32,286.42
"01-12-2015 19:00","01-12-2015 20:00",44.71,41.77,53.74,28.6,73.2,1015.69,2.37,284.73
"01-12-2015 20:00","01-12-2015 21:00",52.09,44.53,60.6,27.86,76.8,1017.97,2.44,290.69
"01-12-2015 21:00","01-12-2015 22:00",48.38,40.52,55.86,27.05,83.98,1019.52,2.36,289.53
"01-12-2015 22:00","01-12-2015 23:00",56.24,46.49,64.65,26.44,89.7,1021.04,2.36,290.4
"01-12-2015 23:00","02-12-2015 00:00",34.32,31.17,40.82,25.99,92.2,1021.29,2.29,288.06
"02-12-2015 00:00","02-12-2015 01:00",23.28,25.94,30.02,25.59,92.2,1020.63,2.33,288.26
"02-12-2015 01:00","02-12-2015 02:00",7.93,12.91,12.22,25.19,92.21,1019.56,2.25,288.62
"02-12-2015 02:00","02-12-2015 03:00",6.29,11.78,10.43,24.99,92.21,1018.89,2.34,278.11
"02-12-2015 03:00","02-12-2015 04:00",7.67,13.58,12.35,24.81,92.21,1018.63,2.31,274.59
"02-12-2015 04:00","02-12-2015 05:00",21.3,23.71,27.47,24.57,92.21,1019.08,2.27,272.38
"02-12-2015 05:00","02-12-2015 06:00",28.96,29.57,36.04,24.36,92.21,1019.61,2.3,271.01
"02-12-2015 06:00","02-12-2015 07:00",24.55,26.86,31.42,24.31,92.21,1020.25,2.27,273.3
"02-12-2015 07:00","02-12-2015 08:00",20.97,24.07,27.39,25.07,92.21,1020.5,2.31,273.06
"02-12-2015 08:00","02-12-2015 09:00",15.33,20.83,21.6,25.91,92.21,1020.63,2.37,281.28
"02-12-2015 09:00","02-12-2015 10:00",15.91,21.76,22.49,27.13,92.18,1020.54,2.45,287.99
"02-12-2015 10:00","02-12-2015 11:00",17.13,23.04,24.02,28.22,85.16,1019.27,2.52,292.93
"02-12-2015 11:00","02-12-2015 12:00",18.38,23.59,25.22,29.3,76.07,1017.64,2.51,290.91
"02-12-2015 12:00","02-12-2015 13:00",15.46,24.85,23.66,29.41,73.95,1016.24,2.45,285.97
"02-12-2015 13:00","02-12-2015 14:00",15.35,22.5,22.43,29.73,73.49,1014.5,2.51,294.61
"02-12-2015 14:00","02-12-2015 15:00",16.09,22.64,23.05,29.72,74.43,1012.98,0.03,193
"02-12-2015 15:00","02-12-2015 16:00",16.18,22.97,23.29,29.36,76.19,1013.55,2.3,291.55
"02-12-2015 16:00","02-12-2015 17:00",14.95,23.21,22.48,28.37,85.37,1014.1,2.5,295.71
"02-12-2015 17:00","02-12-2015 18:00",15.72,24.47,23.67,27.5,88.86,1015.08,2.57,295.7
"02-12-2015 18:00","02-12-2015 19:00",18.33,24.99,25.87,26.86,92.12,1016.01,2.35,293.27
"02-12-2015 19:00","02-12-2015 20:00",19.31,25.44,26.82,26.88,92.23,1017.55,2.28,287.81
"02-12-2015 20:00","02-12-2015 21:00",19.21,25.47,26.76,26.77,92.23,1019.41,2.26,279.44
"02-12-2015 21:00","02-12-2015 22:00",18.64,24.63,25.92,26.27,92.24,1021.39,2.24,290.64
"02-12-2015 22:00","02-12-2015 23:00",18.09,24.81,25.6,25.72,92.24,1021.85,2.33,294.67
"02-12-2015 23:00","03-12-2015 00:00",17.78,24.33,25.13,25.4,92.24,1021.13,2.29,291.55
"03-12-2015 00:00","03-12-2015 01:00",10.29,18.76,16.83,25.53,92.24,1020.29,2.3,284.13
"03-12-2015 01:00","03-12-2015 02:00",6.28,14.85,11.93,25.31,92.24,1018.69,2.4,277.88
