"From.Date","To.Date","NO","NO2","NOx","Temp","RH","BP","WS","WD"
"01-12-2015 00:00","01-12-2015 01:00",0.08,16.38,11.73,25.9,92.2,1019.42,0.76,247.09
"01-12-2015 01:00","01-12-2015 02:00",0.45,15.67,12.1,25.45,92.2,1018.4,1.76,28.08
"01-12-2015 02:00","01-12-2015 03:00",0.25,14.13,9.63,25.16,92.2,1017.81,1.02,236.89
"01-12-2015 03:00","01-12-2015 04:00",0.23,13.63,9.69,24.93,92.2,1017.42,0.26,75.43
"01-12-2015 04:00","01-12-2015 05:00",0.39,14.73,11.47,24.72,92.21,1017.69,2.2,172.18
"01-12-2015 05:00","01-12-2015 06:00",0.38,16.81,13.52,24.49,92.21,1018.26,2.43,284.6
"01-12-2015 06:00","01-12-2015 07:00",0.34,19.06,15.57,24.3,92.21,1019.21,0.54,103.51
"01-12-2015 07:00","01-12-2015 08:00",1.23,22.06,21.02,24.62,92.21,1020.17,0.28,246.38
"01-12-2015 08:00","01-12-2015 09:00",3.26,26.61,29.5,25.61,92.21,1020.57,2.25,288.01
"01-12-2015 09:00","01-12-2015 10:00",4.49,27.77,32.22,26.93,92.18,1019.67,2.43,281.19
"01-12-2015 10:00","01-12-2015 11:00",4.51,28.1,32.49,27.91,87.11,1018.68,2.5,288.47
"01-12-2015 11:00","01-12-2015 12:00",3.64,29.15,32.36,28.61,81.11,1017.57,2.55,285.79
"01-12-2015 12:00","01-12-2015 13:00",5.03,37.82,40.25,29.24,77.12,1015.82,2.49,285.68
"01-12-2015 13:00","01-12-2015 14:00",5.26,60.92,35.59,29.97,71.41,1013.51,2.47,282.18
"01-12-2015 14:00","01-12-2015 15:00",4.78,51,30.05,30.18,70.46,1011.95,2.45,278.76
"01-12-2015 15:00","01-12-2015 16:00",10.35,50.47,34.39,30.49,67.39,1010.98,2.49,290.6
"01-12-2015 16:00","01-12-2015 17:00",11.42,51.38,35.75,30.32,65.62,1010.89,2.44,292.5
"01-12-2015 17:00","01-12-2015 18:00",9.18,62.19,39.88,30.32,65.06,1011,2.4,291.42
"01-12-2015 18:00","01-12-2015 19:00",4.62,58.62,33.97,29.49,68.27,1013.12,2.32,286.42
