"","From.Date","To.Date","SO2","CO","Temp","RH","BP","WS","WD"
"26305","01-07-2018 00:00","01-07-2018 01:00",5.32,0.51,24.18,77.39,1022.1,0.43,224.88
"26306","01-07-2018 01:00","01-07-2018 02:00",3.48,0.44,23.94,78.98,1022.48,0.64,217.85
"26307","01-07-2018 02:00","01-07-2018 03:00",3.73,0.48,23.75,80.74,1022.9,0.61,224.73
"26308","01-07-2018 03:00","01-07-2018 04:00",3.88,0.47,23.59,81.87,1023.2,0.49,225.78
"26309","01-07-2018 04:00","01-07-2018 05:00",7.33,0.74,23.47,81.64,1023.17,0.48,240.66
"26310","01-07-2018 05:00","01-07-2018 06:00",6,0.62,23.48,81.17,1023.12,0.51,246.61
"26311","01-07-2018 06:00","01-07-2018 07:00",10.1,0.72,23.52,80.79,1023.03,0.53,244.23
"26312","01-07-2018 07:00","01-07-2018 08:00",11.4,0.7,23.82,78.3,1022.43,0.66,242.16
"26313","01-07-2018 08:00","01-07-2018 09:00",9.15,0.56,24.11,76.84,1022.07,0.83,248.72
"26314","01-07-2018 09:00","01-07-2018 10:00",8.57,0.55,25.09,69.34,1020.25,0.71,229.04
"26315","01-07-2018 10:00","01-07-2018 11:00",8.43,0.54,26,62.48,1018.57,0.71,244.74
"26316","01-07-2018 11:00","01-07-2018 12:00",8.63,0.56,26.79,56.13,1017.05,0.83,233.46
"26317","01-07-2018 12:00","01-07-2018 13:00",8.65,0.41,27.44,50.43,1015.72,0.93,211.45
"26318","01-07-2018 13:00","01-07-2018 14:00",7.98,0.4,27.83,48.14,1015.15,0.88,223.72
"26319","01-07-2018 14:00","01-07-2018 15:00",8.55,0.42,28.09,48.35,1015.2,0.81,238.42
"26320","01-07-2018 15:00","01-07-2018 16:00",9.1,0.54,28.25,48.36,1015.15,0.68,240.15
"26321","01-07-2018 16:00","01-07-2018 17:00",5.9,0.47,28.02,49.03,1015.35,0.67,228.77
"26322","01-07-2018 17:00","01-07-2018 18:00",6.38,0.41,27.56,53.06,1016.32,0.73,244.99
"26323","01-07-2018 18:00","01-07-2018 19:00",6.3,0.43,27.26,55.14,1016.77,0.53,238.04
"26324","01-07-2018 19:00","01-07-2018 20:00",6.23,0.7,27.01,56.73,1017.1,0.35,231.6
"26325","01-07-2018 20:00","01-07-2018 21:00",8.95,0.51,26.43,63.03,1018.6,0.77,228.12
"26326","01-07-2018 21:00","01-07-2018 22:00",8.35,0.5,25.89,65.6,1019.2,0.72,221.83
"26327","01-07-2018 22:00","01-07-2018 23:00",8.38,0.41,25.3,69.47,1020.15,0.88,226.5
"26328","01-07-2018 23:00","02-07-2018 00:00",8.6,0.29,24.9,71.43,1020.62,0.71,230.9
