"","From.Date","To.Date","SO2","CO","Temp","RH","BP","WS","WD"
"4945","23-01-2016 00:00","23-01-2016 01:00",37.54,0.68,24.46,87.32,1025.29,2.21,172.02
"4946","23-01-2016 01:00","23-01-2016 02:00",38.46,0.33,24.37,87.32,1024.97,2.14,166.44
"4947","23-01-2016 02:00","23-01-2016 03:00",37.83,0.45,24.36,87.32,1023.29,2.17,165.53
"4948","23-01-2016 03:00","23-01-2016 04:00",38.6,0.29,24.02,87.32,1022.39,2.14,167.03
"4949","23-01-2016 04:00","23-01-2016 05:00",37.2,0.46,23.75,87.32,1022.74,2.12,170.58
"4950","23-01-2016 05:00","23-01-2016 06:00",39.68,0.71,23.65,87.32,1023.33,2.14,168.14
"4951","23-01-2016 06:00","23-01-2016 07:00",38.52,1.32,23.6,87.33,1024.53,2.19,167.48
"4952","23-01-2016 07:00","23-01-2016 08:00",40.64,1.13,23.6,87.32,1026,2.24,172.06
"4953","23-01-2016 08:00","23-01-2016 09:00",38.53,1.25,24.17,87.32,1027.63,2.27,173.41
"4954","23-01-2016 09:00","23-01-2016 10:00",40.6,0.99,25,87.32,1028.24,2.3,170.66
"4955","23-01-2016 10:00","23-01-2016 11:00",38.64,1.38,26.08,84.28,1027.58,2.26,168.62
"4956","23-01-2016 11:00","23-01-2016 12:00",39,1.25,27.14,76.32,1025.88,2.31,173.96
"4957","23-01-2016 12:00","23-01-2016 13:00",38.31,1.35,27.85,70.6,1023.28,2.28,177.4
"4958","23-01-2016 13:00","23-01-2016 14:00",39.14,1.38,28.15,67.17,1021.85,2.34,177.2
"4959","23-01-2016 14:00","23-01-2016 15:00",31.01,1.71,28.01,68.8,1020.61,2.29,175.53
"4960","23-01-2016 15:00","23-01-2016 16:00",0.26,1.05,28.18,69.28,1019.71,2.32,177.38
"4961","23-01-2016 16:00","23-01-2016 17:00",66.03,1.21,27.78,71.91,1019.99,2.39,174.9
"4962","23-01-2016 17:00","23-01-2016 18:00",13.75,0.89,27.31,71.76,1020.97,2.3,176.59
"4963","23-01-2016 18:00","23-01-2016 19:00",6.11,2.07,26.52,76.89,1022.23,2.23,177.16
"4964","23-01-2016 19:00","23-01-2016 20:00",8.9,1.95,26.01,82.16,1023.83,2.21,167.07
"4965","23-01-2016 20:00","23-01-2016 21:00",11.09,1.97,25.57,86.5,1025.57,2.21,170.34
"4966","23-01-2016 21:00","23-01-2016 22:00",12.27,1.71,25.22,87.32,1027.17,2.17,166.81
"4967","23-01-2016 22:00","23-01-2016 23:00",11.68,1.37,24.73,87.32,1028.3,2.15,168.81
"4968","23-01-2016 23:00","24-01-2016 00:00",12,0.63,24.36,87.32,1028.39,2.22,169.62
"4969","24-01-2016 00:00","24-01-2016 01:00",11.44,0.66,24.25,87.32,1028.05,2.17,171.38
"4970","24-01-2016 01:00","24-01-2016 02:00",10.28,0.43,24.08,87.32,1026.8,2.23,169.08
"4971","24-01-2016 02:00","24-01-2016 03:00",11.17,0.48,23.96,87.32,1025.6,2.18,167.48
"4972","24-01-2016 03:00","24-01-2016 04:00",12,0.27,23.81,87.32,1024.76,0.52,100.02
"4973","24-01-2016 04:00","24-01-2016 05:00",11.26,0.58,23.64,87.32,1024.3,0.48,123.04
"4974","24-01-2016 05:00","24-01-2016 06:00",12.08,0.78,23.49,87.32,1024.6,1.16,75.45
"4975","24-01-2016 06:00","24-01-2016 07:00",13.23,1.18,23.4,87.32,1025.9,1.08,258.5
"4976","24-01-2016 07:00","24-01-2016 08:00",13.71,1.09,23.62,87.32,1027.2,2.06,161.54
"4977","24-01-2016 08:00","24-01-2016 09:00",14.16,1.23,24.12,87.32,1028.27,0.48,105.72
"4978","24-01-2016 09:00","24-01-2016 10:00",14.14,0.92,24.38,87.32,1029.82,1.67,132.87
"4979","24-01-2016 10:00","24-01-2016 11:00",13.99,0.93,25.57,86.31,1029.21,1.84,242.23
"4980","24-01-2016 11:00","24-01-2016 12:00",14.17,0.98,26.75,78.93,1027.29,0.27,90.18
"4981","24-01-2016 12:00","24-01-2016 13:00",13.01,1.53,27.57,71.52,1024.71,0.49,246.45
"4982","24-01-2016 13:00","24-01-2016 14:00",15.52,0.28,28.32,67.09,1022.1,0.9,65.06
"4983","24-01-2016 14:00","24-01-2016 15:00",17.31,0.15,29.12,61.75,1020.22,1.68,174.72
"4984","24-01-2016 15:00","24-01-2016 16:00",17.52,1.1,29.06,61.12,1019.2,2.2,181.17
"4985","24-01-2016 16:00","24-01-2016 17:00",18.67,1.4,28.42,63.43,1019.84,2.23,172.49
"4986","24-01-2016 17:00","24-01-2016 18:00",18,1.34,28.19,66.05,1020.22,2.23,171.28
"4987","24-01-2016 18:00","24-01-2016 19:00",17.83,1.7,27.41,71.38,1021.88,2.26,178.02
"4988","24-01-2016 19:00","24-01-2016 20:00",18.84,2.15,26.83,75.11,1023.42,2.27,174.97
"4989","24-01-2016 20:00","24-01-2016 21:00",18.82,1.98,26.42,78.23,1025.05,2.24,172.23
"4990","24-01-2016 21:00","24-01-2016 22:00",18.37,1.52,25.95,84.19,1026.38,2.3,176.03
"4991","24-01-2016 22:00","24-01-2016 23:00",18.84,1.2,25.26,87.32,1027.17,1.66,39.93
"4992","24-01-2016 23:00","25-01-2016 00:00",17.41,0.57,24.76,87.32,1027.3,0.79,253.46
"4993","25-01-2016 00:00","25-01-2016 01:00",17.56,0.69,24.49,87.32,1026.83,0.11,180.54
"4994","25-01-2016 01:00","25-01-2016 02:00",17.88,0.41,24.38,87.32,1025.47,0.5,1.82
"4995","25-01-2016 02:00","25-01-2016 03:00",20.07,0.37,23.99,87.32,1024.14,0.8,243.3
"4996","25-01-2016 03:00","25-01-2016 04:00",20.02,0.26,23.62,87.32,1022.92,1.99,277.08
"4997","25-01-2016 04:00","25-01-2016 05:00",20,0.53,23.64,87.32,1022.65,1.5,138.47
"4998","25-01-2016 05:00","25-01-2016 06:00",20.41,0.74,23.63,87.32,1022.97,0.83,84.11
"4999","25-01-2016 06:00","25-01-2016 07:00",22.03,1.29,23.54,87.32,1024.11,2.14,270.26
"5000","25-01-2016 07:00","25-01-2016 08:00",23.01,1.47,23.44,87.32,1025.53,0.41,114.15
"5001","25-01-2016 08:00","25-01-2016 09:00",22.3,1.5,24.24,87.32,1026.4,1.94,172.85
"5002","25-01-2016 09:00","25-01-2016 10:00",21.76,1.69,25.67,86.7,1026.06,2.19,173.06
"5003","25-01-2016 10:00","25-01-2016 11:00",23.14,2.03,26.92,80.02,1024.7,2.2,182.03
"5004","25-01-2016 11:00","25-01-2016 12:00",22,1.64,28.05,71.56,1022.51,2.18,181.13
"5005","25-01-2016 12:00","25-01-2016 13:00",23.09,1.69,29.07,62.45,1020.06,2.18,177.98
"5006","25-01-2016 13:00","25-01-2016 14:00",21.08,1.41,29.74,57.72,1017.55,2.21,184.59
"5007","25-01-2016 14:00","25-01-2016 15:00",23.13,1.59,29.49,56.1,1016.68,2.21,175.59
"5008","25-01-2016 15:00","25-01-2016 16:00",36.35,1.31,29.73,56.68,1015.2,2.16,177.83
"5009","25-01-2016 16:00","25-01-2016 17:00",43.7,1.28,29.52,57.03,1015.26,2.19,192.44
"5010","25-01-2016 17:00","25-01-2016 18:00",17.43,4.39,29.11,60.63,1016.12,2.17,189.56
"5011","25-01-2016 18:00","25-01-2016 19:00",20.4,2.15,28.41,64.54,1017.87,2.28,180.2
"5012","25-01-2016 19:00","25-01-2016 20:00",20.44,2.1,27.78,68.86,1019.72,2.33,184.62
"5013","25-01-2016 20:00","25-01-2016 21:00",23.07,1.86,27.06,75.59,1021.63,2.29,184.5
"5014","25-01-2016 21:00","25-01-2016 22:00",22.01,1.5,26.6,79.09,1023.48,2.38,175.34
"5015","25-01-2016 22:00","25-01-2016 23:00",22.6,0.8,25.71,86.47,1024.48,2.38,173.98
"5016","25-01-2016 23:00","26-01-2016 00:00",21.96,0.21,25.19,87.32,1024.12,2.3,176.22
"5017","26-01-2016 00:00","26-01-2016 01:00",22.51,0.46,24.8,87.32,1023.71,2.24,180.35
"5018","26-01-2016 01:00","26-01-2016 02:00",22.56,0.23,24.55,87.32,1023.26,2.28,178.73
"5019","26-01-2016 02:00","26-01-2016 03:00",21.87,0.37,24.36,87.32,1022.43,2.21,180.24
"5020","26-01-2016 03:00","26-01-2016 04:00",21.83,0.2,24.26,87.32,1021.38,2.19,183.46
"5021","26-01-2016 04:00","26-01-2016 05:00",23.41,0.31,24.07,87.32,1021.09,2.22,178.55
"5022","26-01-2016 05:00","26-01-2016 06:00",22.9,0.49,23.84,87.32,1021.96,2.19,180.87
"5023","26-01-2016 06:00","26-01-2016 07:00",24,0.67,23.9,87.32,1022.75,2.2,185.35
"5024","26-01-2016 07:00","26-01-2016 08:00",24.7,0.85,24.01,87.32,1023.92,2.19,185.76
"5025","26-01-2016 08:00","26-01-2016 09:00",25.61,0.95,24.73,87.32,1024.37,2.18,179.17
"5026","26-01-2016 09:00","26-01-2016 10:00",27.13,1.27,25.99,87.18,1024.44,0.46,92.09
"5027","26-01-2016 10:00","26-01-2016 11:00",25.89,1.1,27.39,79.5,1023.5,2.16,184.17
"5028","26-01-2016 11:00","26-01-2016 12:00",27.2,1.1,28.28,71.83,1021.96,2.14,187.33
"5029","26-01-2016 12:00","26-01-2016 13:00",26.87,0.83,28.66,67.06,1020.07,2.15,196.28
"5030","26-01-2016 13:00","26-01-2016 14:00",27.14,1.06,29.6,60.86,1018.12,2.15,177.25
"5031","26-01-2016 14:00","26-01-2016 15:00",27.32,0.89,29.84,57.45,1016.02,2.16,165.89
"5032","26-01-2016 15:00","26-01-2016 16:00",27.81,0.96,29.75,56.09,1014.82,2.11,178.85
"5033","26-01-2016 16:00","26-01-2016 17:00",27.34,0.88,29.88,54.79,1014.89,2.08,180.21
"5034","26-01-2016 17:00","26-01-2016 18:00",28.73,1.05,29.77,54.41,1015.41,2.18,173.66
"5035","26-01-2016 18:00","26-01-2016 19:00",30.12,1.51,29.01,58.04,1017.39,2.2,176.76
"5036","26-01-2016 19:00","26-01-2016 20:00",30.34,1.53,28.41,62.61,1019.18,2.27,181.21
"5037","26-01-2016 20:00","26-01-2016 21:00",29.85,1.32,27.74,68.76,1021.06,2.26,187.35
"5038","26-01-2016 21:00","26-01-2016 22:00",32.7,1.44,27.04,73.9,1022.79,2.32,175.4
"5039","26-01-2016 22:00","26-01-2016 23:00",30.99,0.77,25.97,84.09,1024.15,2.31,175.19
"5040","26-01-2016 23:00","27-01-2016 00:00",31.02,0.35,25.33,87.3,1024.32,2.26,172.42
"5041","27-01-2016 00:00","27-01-2016 01:00",30.1,0.22,24.92,87.3,1024.1,2.26,174.74
"5042","27-01-2016 01:00","27-01-2016 02:00",30.87,0.18,24.64,87.3,1023.48,2.25,179.41
"5043","27-01-2016 02:00","27-01-2016 03:00",31.31,0.1,24.47,87.3,1022.7,2.22,187.05
"5044","27-01-2016 03:00","27-01-2016 04:00",30.24,0.45,24.17,87.3,1021.5,2.22,187.32
"5045","27-01-2016 04:00","27-01-2016 05:00",31.2,0.42,23.99,87.3,1021.33,2.22,179.96
"5046","27-01-2016 05:00","27-01-2016 06:00",33.32,0.73,23.95,87.3,1021.82,2.16,190.3
"5047","27-01-2016 06:00","27-01-2016 07:00",34.39,0.75,23.89,87.3,1022.74,2.09,198.85
"5048","27-01-2016 07:00","27-01-2016 08:00",34.36,0.94,23.98,87.3,1024.38,2.22,181.11
"5049","27-01-2016 08:00","27-01-2016 09:00",34.9,1.01,24.64,87.29,1025.31,2.18,181.15
"5050","27-01-2016 09:00","27-01-2016 10:00",34.51,1.48,25.85,87.3,1025.68,2.15,183.41
"5051","27-01-2016 10:00","27-01-2016 11:00",36.06,1.24,27.32,82.13,1024.01,2.14,174.88
"5052","27-01-2016 11:00","27-01-2016 12:00",35.59,1.2,28.46,73.16,1021.62,2.16,172.76
